종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","80100","-700","-0.87","4.78179582E8"
"000660","SK하이닉스","121500","-2000","-1.62","8.8452287E7"
"035720","카카오","161500","500","0.31","7.1694628E7"
"035420","NAVER","422500","5000","1.20","6.9401284E7"
"051910","LG화학","863000","-9000","-1.03","6.0921192E7"
"207940","삼성바이오로직스","866000","21000","2.49","5.729889E7"
"006400","삼성SDI","739000","-10000","-1.34","5.0816988E7"
"005380","현대차","229500","-2500","-1.08","4.9036849E7"
"068270","셀트리온","267000","500","0.19","3.6823715E7"
"000270","기아","87100","-700","-0.80","3.5307148E7"
"005490","POSCO","341000","1500","0.44","2.9730711E7"
"051900","LG생활건강","1755000","12000","0.69","2.7409936E7"
"012330","현대모비스","282000","-500","-0.18","2.6731653E7"
"066570","LG전자","161000","-4000","-2.42","2.6347298E7"
"096770","SK이노베이션","269500","-3000","-1.10","2.4919469E7"
"028260","삼성물산","131500","-2000","-1.50","2.4575651E7"
"017670","SK텔레콤","315000","500","0.16","2.2698945E7"
"105560","KB금융","52300","-500","-0.95","2.1746754E7"
"055550","신한지주","38900","-300","-0.77","2.0095723E7"
"034730","SK","274500","-500","-0.18","1.9313902E7"
"036570","엔씨소프트","832000","-2000","-0.24","1.8265746E7"
"011200","HMM","45950","-1250","-2.65","1.5870785E7"
"015760","한국전력","24500","-350","-1.41","1.572812E7"
"003550","LG","98900","-1100","-1.10","1.5557068E7"
"032830","삼성생명","77600","-400","-0.51","1.552E7"
"361610","SK아이이테크놀로지","208000","9000","4.52","1.4829899E7"
"090430","아모레퍼시픽","243000","-1000","-0.41","1.4205413E7"
"018260","삼성에스디에스","185000","-2500","-1.33","1.4314893E7"
"009150","삼성전기","183000","-5500","-2.92","1.3668946E7"
"086790","하나금융지주","43850","-150","-0.34","1.3165614E7"
"003670","포스코케미칼","158500","9500","6.38","1.227792E7"
"302440","SK바이오사이언스","159000","-6000","-3.64","1.21635E7"
"251270","넷마블","136500","500","0.37","1.1732653E7"
"352820","하이브","292500","-5000","-1.68","1.1408324E7"
"010950","S-Oil","101500","-4000","-3.79","1.1427153E7"
"033780","KT&G","83100","-500","-0.60","1.1409007E7"
"003490","대한항공","31050","-450","-1.43","1.0799837E7"
"034020","두산중공업","25100","-250","-0.99","1.0734662E7"
"326030","SK바이오팜","131000","1500","1.16","1.0259036E7"
"000810","삼성화재","214000","-1000","-0.47","1.0138215E7"
"009540","한국조선해양","125000","-4000","-3.10","8846640.0"
"011170","롯데케미칼","255000","-6000","-2.30","8740232.0"
"018880","한온시스템","16400","-400","-2.38","8754320.0"
"030200","KT","32700","200","0.62","8538356.0"
"316140","우리금융지주","11400","-50","-0.44","8233852.0"
"010130","고려아연","437500","1500","0.34","8255625.0"
"009830","한화솔루션","43900","-600","-1.35","8397126.0"
"034220","LG디스플레이","23250","-550","-2.31","8319215.0"
"024110","기업은행","10350","-50","-0.48","7703511.0"
"086280","현대글로비스","201500","-5500","-2.66","7556250.0"
"004020","현대제철","52800","200","0.38","7045937.0"
"097950","CJ제일제당","449500","-3000","-0.66","6766857.0"
"011780","금호석유","217000","-1000","-0.46","6611489.0"
"000720","현대건설","57800","-1400","-2.36","6436363.0"
"032640","LG유플러스","14700","-50","-0.34","6418187.0"
"161390","한국타이어앤테크놀로지","50300","-1100","-2.14","6230916.0"
"011790","SKC","157000","-3500","-2.18","5945323.0"
"006800","미래에셋증권","9360","50","0.54","5946562.0"
"008930","한미사이언스","84700","1200","1.44","5700701.0"
"021240","코웨이","77600","-1400","-1.77","5726850.0"
"035250","강원랜드","25950","-600","-2.26","5551756.0"
"071050","한국금융지주","97500","600","0.62","5433284.0"
"011070","LG이노텍","229500","-2500","-1.08","5431601.0"
"267250","현대중공업지주","67100","-1800","-2.61","5300436.0"
"002790","아모레G","62200","-1500","-2.35","5128899.0"
"241560","두산밥캣","48750","-1450","-2.89","4887147.0"
"271560","오리온","119000","-1000","-0.83","4704800.0"
"028050","삼성엔지니어링","23000","-350","-1.50","4508000.0"
"028670","팬오션","8150","-240","-2.86","4356742.0"
"000100","유한양행","63600","-1500","-2.30","4450280.0"
"180640","한진칼","65300","-1000","-1.51","4349307.0"
"139480","이마트","155500","-2500","-1.58","4334690.0"
"029780","삼성카드","35500","350","1.00","4112991.0"
"078930","GS","44600","-1150","-2.51","4144026.0"
"010140","삼성중공업","6720","-130","-1.90","4233600.0"
"000120","CJ대한통운","181000","500","0.28","4129034.0"
"003410","쌍용C&E","8100","-110","-1.34","4081263.0"
"128940","한미약품","346000","500","0.14","4179086.0"
"016360","삼성증권","43950","-150","-0.34","3924735.0"
"005830","DB손해보험","55500","1000","1.83","3929400.0"
"004990","롯데지주","38450","-750","-1.91","4033760.0"
"298020","효성티앤씨","893000","12000","1.36","3864620.0"
"008770","호텔신라","93500","-400","-0.43","3669699.0"
"006280","녹십자","327000","-6000","-1.80","3821498.0"
"019170","신풍제약","65700","500","0.77","3481114.0"
"006360","GS건설","42400","-550","-1.28","3628655.0"
"005940","NH투자증권","12550","-50","-0.40","3531682.0"
"042660","대우조선해양","33400","-1550","-4.43","3583508.0"
"020150","일진머티리얼즈","72200","-2500","-3.35","3329202.0"
"036460","한국가스공사","35500","-1100","-3.01","3277112.0"
"008560","메리츠증권","4835","20","0.42","3296167.0"
"047810","한국항공우주","33600","-1100","-3.17","3275164.0"
"081660","휠라홀딩스","55300","300","0.55","3359598.0"
"042670","두산인프라코어","14450","0","0.00","3340774.0"
"272210","한화시스템","17250","-350","-1.99","3258859.0"
"023530","롯데쇼핑","111000","-3000","-2.63","3140052.0"
"039490","키움증권","122000","-2000","-1.61","3195303.0"
"012750","에스원","84200","1800","2.18","3199531.0"
"112610","씨에스윈드","76900","-2000","-2.53","3242981.0"
"010620","현대미포조선","81100","-4000","-4.70","3239308.0"
"047040","대우건설","7510","-40","-0.53","3121326.0"
"282330","BGF리테일","168500","500","0.30","2912338.0"
"285130","SK케미칼","251000","-5500","-2.14","2949600.0"
"336260","두산퓨얼셀","46850","-3100","-6.21","3068381.0"
"375500","DL이앤씨","152500","-1000","-0.65","2952208.0"
